Company Name,Primary NAICS Description,D-U-N-S@ Number,Web Address (URL),Industry,tier,concrete restoration,epoxy coatings,floor coatings,floor demo,floor demolition,floor maintenance,flooring maintenance,floor restoration,flooring restoration,surface preparation,concrete AND flooring,concrete AND surfacing,concrete AND restoration,concrete AND coating,concrete AND construction,concrete AND polishing,concrete AND painting,concrete AND demolition,concrete AND epoxy,flooring,surfacing,coating,construction,polishing,painting,demolition,epoxy
TCPN MANAGEMENT GROUP LLC,All Other Business Support Services,07-840-7762,WWW.44873.GROUP23.SITES.HUBSPOT.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 LABS LLC,"All Other Professional, Scientific, and Technical Services",05-650-7537,WWW.46LABS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDER BROTHERS CORPORATION,Construction Machinery Manufacturing,80-590-4968,WWW.4AMAULDIN.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN ROOFING LLC,Roofing Contractors,07-448-9696,WWW.4AMERICANROOFING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 CORNERS ROOFING & SHEET METAL LLC,Roofing Contractors,12-134-3730,WWW.4CORNERSROOFING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAMTAC CORP.,Furniture Merchant Wholesalers,00-837-0686,WWW.4DDEVELOPMENT.US,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INTENTIONAL LEADERSHIP, INC.",Other Management Consulting Services,06-224-5266,WWW.4-DSYSTEMS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 FORTY FOUR INC.,New Single-Family Housing Construction (except For-Sale Builders),15-595-2042,WWW.4FORTYFOUR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIVENS CLEANING CONTRACTORS INC,Carpet and Upholstery Cleaning Services,15-817-2601,WWW.4GIVENS.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MICHIGAN BUILDING SPECIALTIES, INC.",Residential Remodelers,01-669-2709,WWW.4-MBS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUR SEASONS SERVICES INC,Service Establishment Equipment and Supplies Merchant Wholesalers,07-651-5501,WWW.4SEASONSCOFFEE.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOUR STATE MAINTENANCE SUPPLY, INC.",Service Establishment Equipment and Supplies Merchant Wholesalers,14-798-8018,WWW.4STATEMAINTENANCE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
